Id,SalePrice
1461,124136.96062343734
1462,159658.4461908668
1463,184701.37564443637
1464,198760.98129210502
1465,185879.26112747987
1466,172981.24961064485
1467,176677.18437511305
1468,165337.88220300863
1469,186364.49908076375
1470,124085.50008451815
1471,197538.00123806292
1472,95618.91269427669
1473,97247.81369965826
1474,147500.6274648359
1475,113292.62378538554
1476,370652.1076474398
1477,253065.96146038407
1478,285392.3528249048
1479,293546.77161689027
1480,461092.23648741946
1481,329222.93566226185
1482,209079.5842562825
1483,174458.93388318788
1484,163964.94420037238
1485,184918.83535026002
1486,194189.24695773682
1487,336941.19693801424
1488,235291.5660809232
1489,197325.46245811036
1490,236856.93679383086
1491,190024.10758569455
1492,92276.42956564124
1493,181991.96114419232
1494,291468.1507205121
1495,281128.3792347242
1496,238154.61916537042
1497,176447.0013204662
1498,166463.67957087496
1499,161009.65133421932
1500,154480.29213145166
1501,177020.73432667454
1502,146290.2881546301
1503,284507.334961936
1504,243788.20666621142
1505,227669.32352134114
1506,191774.4237872006
1507,249504.93368401602
1508,196304.5185193577
1509,161591.91680592118
1510,142022.12489837824
1511,146190.37266497334
1512,167028.5483338458
1513,138107.4713492973
1514,152532.84924705193
1515,196014.00861183426
1516,153650.3450436485
1517,162180.06188806944
1518,129742.08504443285
1519,223169.03446190068
1520,131928.96964974297
1521,134187.5986745463
1522,173973.3031097889
1523,111147.79147753026
1524,126796.23846549688
1525,121812.69455728745
1526,112080.9219341372
1527,105552.99606231155
1528,135511.38745837632
1529,150497.8236243633
1530,175171.06883861247
1531,105318.86246726142
1532,94687.27874463324
1533,145995.88380247232
1534,123745.75972195966
1535,151898.84587200693
1536,108144.56097155748
1537,61964.787624158824
1538,149425.89707654138
1539,191397.4380416007
1540,94104.05647807888
1541,146966.95141911466
1542,138971.68504973847
1543,198084.73782092743
1544,83985.15377664733
1545,108783.30057857279
1546,133130.137905492
1547,131512.4366404467
1548,139584.803130099
1549,117339.83840307072
1550,137804.81051237896
1551,110503.30664172706
1552,137478.99775128858
1553,147784.80127084843
1554,112901.77195461292
1555,163584.37131899933
1556,84739.41751092918
1557,97570.8978871881
1558,97438.61976251731
1559,79283.09905431
1560,135259.13521048878
1561,121930.23116071492
1562,130043.76256995443
